SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"89 WARDREW ROAD, EXETER, EX4 1EZ",,,89,WARDREW ROAD,,EXETER
"90 WARDREW ROAD, EXETER, EX4 1EZ",,,90,WARDREW ROAD,,EXETER
"91 WARDREW ROAD, EXETER, EX4 1EZ",,,91,WARDREW ROAD,,EXETER
"92 WARDREW ROAD, EXETER, EX4 1EZ",,,92,WARDREW ROAD,,EXETER
"93 WARDREW ROAD, EXETER, EX4 1EZ",,,93,WARDREW ROAD,,EXETER
"94 WARDREW ROAD, EXETER, EX4 1EZ",,,94,WARDREW ROAD,,EXETER
"95 WARDREW ROAD, EXETER, EX4 1EZ",,,95,WARDREW ROAD,,EXETER
"96 WARDREW ROAD, EXETER, EX4 1EZ",,,96,WARDREW ROAD,,EXETER
"97 WARDREW ROAD, EXETER, EX4 1EZ",,,97,WARDREW ROAD,,EXETER
"98 WARDREW ROAD, EXETER, EX4 1EZ",,,98,WARDREW ROAD,,EXETER
"99 WARDREW ROAD, EXETER, EX4 1EZ",,,99,WARDREW ROAD,,EXETER
"100 WARDREW ROAD, EXETER, EX4 1EZ",,,100,WARDREW ROAD,,EXETER
"101 WARDREW ROAD, EXETER, EX4 1EZ",,,101,WARDREW ROAD,,EXETER
"102 WARDREW ROAD, EXETER, EX4 1EZ",,,102,WARDREW ROAD,,EXETER
"103 WARDREW ROAD, EXETER, EX4 1EZ",,,103,WARDREW ROAD,,EXETER
"104 WARDREW ROAD, EXETER, EX4 1EZ",,,104,WARDREW ROAD,,EXETER
"105 WARDREW ROAD, EXETER, EX4 1EZ",,,105,WARDREW ROAD,,EXETER
"106 WARDREW ROAD, EXETER, EX4 1EZ",,,106,WARDREW ROAD,,EXETER
"107 WARDREW ROAD, EXETER, EX4 1EZ",,,107,WARDREW ROAD,,EXETER
"108 WARDREW ROAD, EXETER, EX4 1EZ",,,108,WARDREW ROAD,,EXETER
"109 WARDREW ROAD, EXETER, EX4 1EZ",,,109,WARDREW ROAD,,EXETER
"110 WARDREW ROAD, EXETER, EX4 1EZ",,,110,WARDREW ROAD,,EXETER
"111 WARDREW ROAD, EXETER, EX4 1EZ",,,111,WARDREW ROAD,,EXETER
"112 WARDREW ROAD, EXETER, EX4 1EZ",,,112,WARDREW ROAD,,EXETER
"113 WARDREW ROAD, EXETER, EX4 1EZ",,,113,WARDREW ROAD,,EXETER
"114 WARDREW ROAD, EXETER, EX4 1EZ",,,114,WARDREW ROAD,,EXETER
"115 WARDREW ROAD, EXETER, EX4 1EZ",,,115,WARDREW ROAD,,EXETER
"116 WARDREW ROAD, EXETER, EX4 1EZ",,,116,WARDREW ROAD,,EXETER
"117 WARDREW ROAD, EXETER, EX4 1EZ",,,117,WARDREW ROAD,,EXETER
"118 WARDREW ROAD, EXETER, EX4 1EZ",,,118,WARDREW ROAD,,EXETER
"119 WARDREW ROAD, EXETER, EX4 1EZ",,,119,WARDREW ROAD,,EXETER
"120 WARDREW ROAD, EXETER, EX4 1EZ",,,120,WARDREW ROAD,,EXETER
"121 WARDREW ROAD, EXETER, EX4 1EZ",,,121,WARDREW ROAD,,EXETER
"122 WARDREW ROAD, EXETER, EX4 1EZ",,,122,WARDREW ROAD,,EXETER
"123 WARDREW ROAD, EXETER, EX4 1EZ",,,123,WARDREW ROAD,,EXETER
"124 WARDREW ROAD, EXETER, EX4 1EZ",,,124,WARDREW ROAD,,EXETER
"125 WARDREW ROAD, EXETER, EX4 1EZ",,,125,WARDREW ROAD,,EXETER
"126 WARDREW ROAD, EXETER, EX4 1EZ",,,126,WARDREW ROAD,,EXETER
"127 WARDREW ROAD, EXETER, EX4 1EZ",,,127,WARDREW ROAD,,EXETER
"128 WARDREW ROAD, EXETER, EX4 1EZ",,,128,WARDREW ROAD,,EXETER
"129 WARDREW ROAD, EXETER, EX4 1EZ",,,129,WARDREW ROAD,,EXETER
"130 WARDREW ROAD, EXETER, EX4 1EZ",,,130,WARDREW ROAD,,EXETER
"131 WARDREW ROAD, EXETER, EX4 1EZ",,,131,WARDREW ROAD,,EXETER
"132 WARDREW ROAD, EXETER, EX4 1EZ",,,132,WARDREW ROAD,,EXETER
"133 WARDREW ROAD, EXETER, EX4 1EZ",,,133,WARDREW ROAD,,EXETER
"134 WARDREW ROAD, EXETER, EX4 1EZ",,,134,WARDREW ROAD,,EXETER
"135 WARDREW ROAD, EXETER, EX4 1EZ",,,135,WARDREW ROAD,,EXETER
"136 WARDREW ROAD, EXETER, EX4 1EZ",,,136,WARDREW ROAD,,EXETER
"137 WARDREW ROAD, EXETER, EX4 1EY",,,137,WARDREW ROAD,,EXETER
"138 WARDREW ROAD, EXETER, EX4 1EY",,,138,WARDREW ROAD,,EXETER
"140 WARDREW ROAD, EXETER, EX4 1EY",,,140,WARDREW ROAD,,EXETER
"142 WARDREW ROAD, EXETER, EX4 1EY",,,142,WARDREW ROAD,,EXETER
"144 WARDREW ROAD, EXETER, EX4 1EY",,,144,WARDREW ROAD,,EXETER
"146 WARDREW ROAD, EXETER, EX4 1EY",,,146,WARDREW ROAD,,EXETER
"148 WARDREW ROAD, EXETER, EX4 1EY",,,148,WARDREW ROAD,,EXETER
"1 WEBLEY ROAD, EXETER, EX2 9HQ",,,1,WEBLEY ROAD,,EXETER
"2 WEBLEY ROAD, EXETER, EX2 9HQ",,,2,WEBLEY ROAD,,EXETER
"3 WEBLEY ROAD, EXETER, EX2 9HQ",,,3,WEBLEY ROAD,,EXETER
"4 WEBLEY ROAD, EXETER, EX2 9HQ",,,4,WEBLEY ROAD,,EXETER
"5 WEBLEY ROAD, EXETER, EX2 9HQ",,,5,WEBLEY ROAD,,EXETER
"6 WEBLEY ROAD, EXETER, EX2 9HQ",,,6,WEBLEY ROAD,,EXETER
"7 WEBLEY ROAD, EXETER, EX2 9HQ",,,7,WEBLEY ROAD,,EXETER
"8 WEBLEY ROAD, EXETER, EX2 9HQ",,,8,WEBLEY ROAD,,EXETER
"1 WELLPARK CLOSE, EXETER, EX4 1TS",,,1,WELLPARK CLOSE,,EXETER
"2 WELLPARK CLOSE, EXETER, EX4 1TS",,,2,WELLPARK CLOSE,,EXETER
"3 WELLPARK CLOSE, EXETER, EX4 1TS",,,3,WELLPARK CLOSE,,EXETER
"4 WELLPARK CLOSE, EXETER, EX4 1TS",,,4,WELLPARK CLOSE,,EXETER
"5 WELLPARK CLOSE, EXETER, EX4 1TS",,,5,WELLPARK CLOSE,,EXETER
"6 WELLPARK CLOSE, EXETER, EX4 1TS",,,6,WELLPARK CLOSE,,EXETER
"7 WELLPARK CLOSE, EXETER, EX4 1TS",,,7,WELLPARK CLOSE,,EXETER
"8 WELLPARK CLOSE, EXETER, EX4 1TS",,,8,WELLPARK CLOSE,,EXETER
"9 WELLPARK CLOSE, EXETER, EX4 1TS",,,9,WELLPARK CLOSE,,EXETER
"10 WELLPARK CLOSE, EXETER, EX4 1TS",,,10,WELLPARK CLOSE,,EXETER
"11 WELLPARK CLOSE, EXETER, EX4 1TS",,,11,WELLPARK CLOSE,,EXETER
"12 WELLPARK CLOSE, EXETER, EX4 1TS",,,12,WELLPARK CLOSE,,EXETER
"13 WELLPARK CLOSE, EXETER, EX4 1TS",,,13,WELLPARK CLOSE,,EXETER
"14 WELLPARK CLOSE, EXETER, EX4 1TS",,,14,WELLPARK CLOSE,,EXETER
"15 WELLPARK CLOSE, EXETER, EX4 1TS",,,15,WELLPARK CLOSE,,EXETER
"16 WELLPARK CLOSE, EXETER, EX4 1TS",,,16,WELLPARK CLOSE,,EXETER
"17 WELLPARK CLOSE, EXETER, EX4 1TS",,,17,WELLPARK CLOSE,,EXETER
"18 WELLPARK CLOSE, EXETER, EX4 1TS",,,18,WELLPARK CLOSE,,EXETER
"19 WELLPARK CLOSE, EXETER, EX4 1TS",,,19,WELLPARK CLOSE,,EXETER
"20 WELLPARK CLOSE, EXETER, EX4 1TS",,,20,WELLPARK CLOSE,,EXETER
"21 WELLPARK CLOSE, EXETER, EX4 1TS",,,21,WELLPARK CLOSE,,EXETER
"22 WELLPARK CLOSE, EXETER, EX4 1TS",,,22,WELLPARK CLOSE,,EXETER
"23 WELLPARK CLOSE, EXETER, EX4 1TS",,,23,WELLPARK CLOSE,,EXETER
"24 WELLPARK CLOSE, EXETER, EX4 1TS",,,24,WELLPARK CLOSE,,EXETER
"25 WELLPARK CLOSE, EXETER, EX4 1TS",,,25,WELLPARK CLOSE,,EXETER
"26 WELLPARK CLOSE, EXETER, EX4 1TS",,,26,WELLPARK CLOSE,,EXETER
"27 WELLPARK CLOSE, EXETER, EX4 1TS",,,27,WELLPARK CLOSE,,EXETER
"28 WELLPARK CLOSE, EXETER, EX4 1TS",,,28,WELLPARK CLOSE,,EXETER
"29 WELLPARK CLOSE, EXETER, EX4 1TS",,,29,WELLPARK CLOSE,,EXETER
"30 WELLPARK CLOSE, EXETER, EX4 1TS",,,30,WELLPARK CLOSE,,EXETER
"31 WELLPARK CLOSE, EXETER, EX4 1TS",,,31,WELLPARK CLOSE,,EXETER
"32 WELLPARK CLOSE, EXETER, EX4 1TS",,,32,WELLPARK CLOSE,,EXETER
"33 WELLPARK CLOSE, EXETER, EX4 1TS",,,33,WELLPARK CLOSE,,EXETER
"34 WELLPARK CLOSE, EXETER, EX4 1TS",,,34,WELLPARK CLOSE,,EXETER
"35 WELLPARK CLOSE, EXETER, EX4 1TS",,,35,WELLPARK CLOSE,,EXETER
"36 WELLPARK CLOSE, EXETER, EX4 1TS",,,36,WELLPARK CLOSE,,EXETER
"37 WELLPARK CLOSE, EXETER, EX4 1TS",,,37,WELLPARK CLOSE,,EXETER
"38 WELLPARK CLOSE, EXETER, EX4 1TS",,,38,WELLPARK CLOSE,,EXETER
"1 WEST GARTH ROAD, EXETER, EX4 5AG",,,1,WEST GARTH ROAD,,EXETER
"2 WEST GARTH ROAD, EXETER, EX4 5AG",,,2,WEST GARTH ROAD,,EXETER
"3 WEST GARTH ROAD, EXETER, EX4 5AG",,,3,WEST GARTH ROAD,,EXETER
"4 WEST GARTH ROAD, EXETER, EX4 5AG",,,4,WEST GARTH ROAD,,EXETER
"5 WEST GARTH ROAD, EXETER, EX4 5AG",,,5,WEST GARTH ROAD,,EXETER
"6 WEST GARTH ROAD, EXETER, EX4 5AG",,,6,WEST GARTH ROAD,,EXETER
"7 WEST GARTH ROAD, EXETER, EX4 5AG",,,7,WEST GARTH ROAD,,EXETER
"8 WEST GARTH ROAD, EXETER, EX4 5AG",,,8,WEST GARTH ROAD,,EXETER
"9 WEST GARTH ROAD, EXETER, EX4 5AG",,,9,WEST GARTH ROAD,,EXETER
"10 WEST GARTH ROAD, EXETER, EX4 5AG",,,10,WEST GARTH ROAD,,EXETER
"12 WEST GARTH ROAD, EXETER, EX4 5AG",,,12,WEST GARTH ROAD,,EXETER
"16 WEST GARTH ROAD, EXETER, EX4 5AH",,,16,WEST GARTH ROAD,,EXETER
"18 WEST GARTH ROAD, EXETER, EX4 5AH",,,18,WEST GARTH ROAD,,EXETER
"20 WEST GARTH ROAD, EXETER, EX4 5AH",,,20,WEST GARTH ROAD,,EXETER
"22 WEST GARTH ROAD, EXETER, EX4 5AH",,,22,WEST GARTH ROAD,,EXETER
"2A WINCHESTER AVENUE, EXETER, EX4 2BE",,,2A,WINCHESTER AVENUE,,EXETER
"2 WINCHESTER AVENUE, EXETER, EX4 2BE",,,2,WINCHESTER AVENUE,,EXETER
"3 WINCHESTER AVENUE, EXETER, EX4 2DQ",,,3,WINCHESTER AVENUE,,EXETER
"4A WINCHESTER AVENUE, EXETER, EX4 2BE",,,4A,WINCHESTER AVENUE,,EXETER
"4 WINCHESTER AVENUE, EXETER, EX4 2BE",,,4,WINCHESTER AVENUE,,EXETER
"6 WINCHESTER AVENUE, EXETER, EX4 2DQ",,,6,WINCHESTER AVENUE,,EXETER
"7A WINCHESTER AVENUE, EXETER, EX4 2DQ",,,7A,WINCHESTER AVENUE,,EXETER
"8 WINCHESTER AVENUE, EXETER, EX4 2DQ",,,8,WINCHESTER AVENUE,,EXETER
"9A WINCHESTER AVENUE, EXETER, EX4 2DQ",,,9A,WINCHESTER AVENUE,,EXETER
"10 WINCHESTER AVENUE, EXETER, EX4 2DQ",,,10,WINCHESTER AVENUE,,EXETER
"11A WINCHESTER AVENUE, EXETER, EX4 2DQ",,,11A,WINCHESTER AVENUE,,EXETER
"12 WINCHESTER AVENUE, EXETER, EX4 2DH",,,12,WINCHESTER AVENUE,,EXETER
"14 WINCHESTER AVENUE, EXETER, EX4 2DH",,,14,WINCHESTER AVENUE,,EXETER
"15 WINCHESTER AVENUE, EXETER, EX4 2DH",,,15,WINCHESTER AVENUE,,EXETER
"16 WINCHESTER AVENUE, EXETER, EX4 2DJ",,,16,WINCHESTER AVENUE,,EXETER
"17 WINCHESTER AVENUE, EXETER, EX4 2DH",,,17,WINCHESTER AVENUE,,EXETER
"18 WINCHESTER AVENUE, EXETER, EX4 2DJ",,,18,WINCHESTER AVENUE,,EXETER
"19 WINCHESTER AVENUE, EXETER, EX4 2DH",,,19,WINCHESTER AVENUE,,EXETER
"21 WINCHESTER AVENUE, EXETER, EX4 2DJ",,,21,WINCHESTER AVENUE,,EXETER
"23 WINCHESTER AVENUE, EXETER, EX4 2DJ",,,23,WINCHESTER AVENUE,,EXETER
"25 WINCHESTER AVENUE, EXETER, EX4 2DJ",,,25,WINCHESTER AVENUE,,EXETER
"1 WINDERMERE CLOSE, EXETER, EX4 2QD",,,1,WINDERMERE CLOSE,,EXETER
"2 WINDERMERE CLOSE, EXETER, EX4 2QD",,,2,WINDERMERE CLOSE,,EXETER
"3 WINDERMERE CLOSE, EXETER, EX4 2QD",,,3,WINDERMERE CLOSE,,EXETER
"4 WINDERMERE CLOSE, EXETER, EX4 2QD",,,4,WINDERMERE CLOSE,,EXETER
"5 WINDERMERE CLOSE, EXETER, EX4 2QD",,,5,WINDERMERE CLOSE,,EXETER
"6 WINDERMERE CLOSE, EXETER, EX4 2QD",,,6,WINDERMERE CLOSE,,EXETER
"7 WINDERMERE CLOSE, EXETER, EX4 2QD",,,7,WINDERMERE CLOSE,,EXETER
"8 WINDERMERE CLOSE, EXETER, EX4 2QD",,,8,WINDERMERE CLOSE,,EXETER
"9 WINDERMERE CLOSE, EXETER, EX4 2QD",,,9,WINDERMERE CLOSE,,EXETER
"10 WINDERMERE CLOSE, EXETER, EX4 2QD",,,10,WINDERMERE CLOSE,,EXETER
"11 WINDERMERE CLOSE, EXETER, EX4 2QD",,,11,WINDERMERE CLOSE,,EXETER
"12 WINDERMERE CLOSE, EXETER, EX4 2QD",,,12,WINDERMERE CLOSE,,EXETER
"13 WINDERMERE CLOSE, EXETER, EX4 2QD",,,13,WINDERMERE CLOSE,,EXETER
"14 WINDERMERE CLOSE, EXETER, EX4 2QD",,,14,WINDERMERE CLOSE,,EXETER
"15 WINDERMERE CLOSE, EXETER, EX4 2QD",,,15,WINDERMERE CLOSE,,EXETER
"16 WINDERMERE CLOSE, EXETER, EX4 2QD",,,16,WINDERMERE CLOSE,,EXETER
"1 WOODAH ROAD, EXETER, EX4 1ET",,,1,WOODAH ROAD,,EXETER
"2 WOODAH ROAD, EXETER, EX4 1ET",,,2,WOODAH ROAD,,EXETER
"3 WOODAH ROAD, EXETER, EX4 1ET",,,3,WOODAH ROAD,,EXETER
"4 WOODAH ROAD, EXETER, EX4 1ET",,,4,WOODAH ROAD,,EXETER
"5 WOODAH ROAD, EXETER, EX4 1ET",,,5,WOODAH ROAD,,EXETER
"6 WOODAH ROAD, EXETER, EX4 1ET",,,6,WOODAH ROAD,,EXETER
"7 WOODAH ROAD, EXETER, EX4 1ET",,,7,WOODAH ROAD,,EXETER
"8 WOODAH ROAD, EXETER, EX4 1ET",,,8,WOODAH ROAD,,EXETER
"9 WOODAH ROAD, EXETER, EX4 1ET",,,9,WOODAH ROAD,,EXETER
"10 WOODAH ROAD, EXETER, EX4 1ET",,,10,WOODAH ROAD,,EXETER
"11 WOODAH ROAD, EXETER, EX4 1ET",,,11,WOODAH ROAD,,EXETER
"12 WOODAH ROAD, EXETER, EX4 1ET",,,12,WOODAH ROAD,,EXETER
"13 WOODAH ROAD, EXETER, EX4 1ET",,,13,WOODAH ROAD,,EXETER
"14 WOODAH ROAD, EXETER, EX4 1ET",,,14,WOODAH ROAD,,EXETER
"15 WOODAH ROAD, EXETER, EX4 1ET",,,15,WOODAH ROAD,,EXETER
"16 WOODAH ROAD, EXETER, EX4 1ET",,,16,WOODAH ROAD,,EXETER
"17 WOODAH ROAD, EXETER, EX4 1ET",,,17,WOODAH ROAD,,EXETER
"19 WOODAH ROAD, EXETER, EX4 1ET",,,19,WOODAH ROAD,,EXETER
"20 WOODAH ROAD, EXETER, EX4 1ET",,,20,WOODAH ROAD,,EXETER
"21 WOODAH ROAD, EXETER, EX4 1ET",,,21,WOODAH ROAD,,EXETER
"22 WOODAH ROAD, EXETER, EX4 1ET",,,22,WOODAH ROAD,,EXETER
"23 WOODAH ROAD, EXETER, EX4 1ET",,,23,WOODAH ROAD,,EXETER
"24 WOODAH ROAD, EXETER, EX4 1ET",,,24,WOODAH ROAD,,EXETER
"25 WOODAH ROAD, EXETER, EX4 1ET",,,25,WOODAH ROAD,,EXETER
"26 WOODAH ROAD, EXETER, EX4 1ET",,,26,WOODAH ROAD,,EXETER
"27 WOODAH ROAD, EXETER, EX4 1ET",,,27,WOODAH ROAD,,EXETER
"28 WOODAH ROAD, EXETER, EX4 1ET",,,28,WOODAH ROAD,,EXETER
"1 WOODBURY VIEW, EXETER, EX2 9JQ",,,1,WOODBURY VIEW,,EXETER
"2 WOODBURY VIEW, EXETER, EX2 9JQ",,,2,WOODBURY VIEW,,EXETER
"3 WOODBURY VIEW, EXETER, EX2 9JQ",,,3,WOODBURY VIEW,,EXETER
"4 WOODBURY VIEW, EXETER, EX2 9JQ",,,4,WOODBURY VIEW,,EXETER
"5 WOODBURY VIEW, EXETER, EX2 9JQ",,,5,WOODBURY VIEW,,EXETER
"6 WOODBURY VIEW, EXETER, EX2 9JQ",,,6,WOODBURY VIEW,,EXETER
"7 WOODBURY VIEW, EXETER, EX2 9JQ",,,7,WOODBURY VIEW,,EXETER
"8 WOODBURY VIEW, EXETER, EX2 9JQ",,,8,WOODBURY VIEW,,EXETER
"9 WOODBURY VIEW, EXETER, EX2 9JQ",,,9,WOODBURY VIEW,,EXETER
"10 WOODBURY VIEW, EXETER, EX2 9JQ",,,10,WOODBURY VIEW,,EXETER
"11 WOODBURY VIEW, EXETER, EX2 9JQ",,,11,WOODBURY VIEW,,EXETER
"12 WOODBURY VIEW, EXETER, EX2 9JQ",,,12,WOODBURY VIEW,,EXETER
"15 WOODBURY VIEW, EXETER, EX2 9JQ",,,15,WOODBURY VIEW,,EXETER
"16 WOODBURY VIEW, EXETER, EX2 9JQ",,,16,WOODBURY VIEW,,EXETER
"17 WOODBURY VIEW, EXETER, EX2 9JQ",,,17,WOODBURY VIEW,,EXETER
"18 WOODBURY VIEW, EXETER, EX2 9JQ",,,18,WOODBURY VIEW,,EXETER
"19 WOODBURY VIEW, EXETER, EX2 9JQ",,,19,WOODBURY VIEW,,EXETER
"20 WOODBURY VIEW, EXETER, EX2 9JQ",,,20,WOODBURY VIEW,,EXETER
"21 WOODBURY VIEW, EXETER, EX2 9JQ",,,21,WOODBURY VIEW,,EXETER
"22 WOODBURY VIEW, EXETER, EX2 9JQ",,,22,WOODBURY VIEW,,EXETER
"23 WOODBURY VIEW, EXETER, EX2 9JQ",,,23,WOODBURY VIEW,,EXETER
"24 WOODBURY VIEW, EXETER, EX2 9JQ",,,24,WOODBURY VIEW,,EXETER
"25 WOODBURY VIEW, EXETER, EX2 9JQ",,,25,WOODBURY VIEW,,EXETER
"26 WOODBURY VIEW, EXETER, EX2 9JQ",,,26,WOODBURY VIEW,,EXETER
"27 WOODBURY VIEW, EXETER, EX2 9JQ",,,27,WOODBURY VIEW,,EXETER
"28 WOODBURY VIEW, EXETER, EX2 9JQ",,,28,WOODBURY VIEW,,EXETER
"29 WOODBURY VIEW, EXETER, EX2 9JQ",,,29,WOODBURY VIEW,,EXETER
"30 WOODBURY VIEW, EXETER, EX2 9JQ",,,30,WOODBURY VIEW,,EXETER
"31 WOODBURY VIEW, EXETER, EX2 9JQ",,,31,WOODBURY VIEW,,EXETER
"32 WOODBURY VIEW, EXETER, EX2 9JQ",,,32,WOODBURY VIEW,,EXETER
"33 WOODBURY VIEW, EXETER, EX2 9JQ",,,33,WOODBURY VIEW,,EXETER
"34 WOODBURY VIEW, EXETER, EX2 9JQ",,,34,WOODBURY VIEW,,EXETER
"35 WOODBURY VIEW, EXETER, EX2 9JQ",,,35,WOODBURY VIEW,,EXETER
"36 WOODBURY VIEW, EXETER, EX2 9JQ",,,36,WOODBURY VIEW,,EXETER
"37 WOODBURY VIEW, EXETER, EX2 9JQ",,,37,WOODBURY VIEW,,EXETER
"38 WOODBURY VIEW, EXETER, EX2 9JQ",,,38,WOODBURY VIEW,,EXETER
"39 WOODBURY VIEW, EXETER, EX2 9JQ",,,39,WOODBURY VIEW,,EXETER
"40 WOODBURY VIEW, EXETER, EX2 9JQ",,,40,WOODBURY VIEW,,EXETER
"41 WOODBURY VIEW, EXETER, EX2 9JQ",,,41,WOODBURY VIEW,,EXETER
"42 WOODBURY VIEW, EXETER, EX2 9JQ",,,42,WOODBURY VIEW,,EXETER
"43 WOODBURY VIEW, EXETER, EX2 9JQ",,,43,WOODBURY VIEW,,EXETER
"44 WOODBURY VIEW, EXETER, EX2 9JQ",,,44,WOODBURY VIEW,,EXETER
"45 WOODBURY VIEW, EXETER, EX2 9JQ",,,45,WOODBURY VIEW,,EXETER
"46 WOODBURY VIEW, EXETER, EX2 9JQ",,,46,WOODBURY VIEW,,EXETER
"47 WOODBURY VIEW, EXETER, EX2 9JQ",,,47,WOODBURY VIEW,,EXETER
"48 WOODBURY VIEW, EXETER, EX2 9JQ",,,48,WOODBURY VIEW,,EXETER
"49 WOODBURY VIEW, EXETER, EX2 9JQ",,,49,WOODBURY VIEW,,EXETER
"50 WOODBURY VIEW, EXETER, EX2 9JQ",,,50,WOODBURY VIEW,,EXETER
"51 WOODBURY VIEW, EXETER, EX2 9JQ",,,51,WOODBURY VIEW,,EXETER
"52 WOODBURY VIEW, EXETER, EX2 9JQ",,,52,WOODBURY VIEW,,EXETER
"53 WOODBURY VIEW, EXETER, EX2 9JQ",,,53,WOODBURY VIEW,,EXETER
"54 WOODBURY VIEW, EXETER, EX2 9JQ",,,54,WOODBURY VIEW,,EXETER
"55 WOODBURY VIEW, EXETER, EX2 9JQ",,,55,WOODBURY VIEW,,EXETER
"6A ISLEWORTH ROAD, EXETER, EX4 1QU",,,6A,ISLEWORTH ROAD,,EXETER
"15 OLD VICARAGE ROAD, EXETER, EX2 9BJ",,,15,OLD VICARAGE ROAD,,EXETER
"GROUND FLOOR FLAT, 94 BARTON ROAD, EXETER, EX2 9DD",GROUND FLOOR FLAT,,94,BARTON ROAD,,EXETER
"60A DUCKWORTH ROAD, EXETER, EX2 9BP",,,60A,DUCKWORTH ROAD,,EXETER
"71 JOHN LEVERS WAY, EXETER, EX4 1DZ",,,71,JOHN LEVERS WAY,,EXETER
"73 JOHN LEVERS WAY, EXETER, EX4 1DZ",,,73,JOHN LEVERS WAY,,EXETER
"18 WOODAH ROAD, EXETER, EX4 1ET",,,18,WOODAH ROAD,,EXETER
"4 BOWHAY LANE, EXETER, EX4 1NZ",,,4,BOWHAY LANE,,EXETER
"BOTTOM FLAT, 21 MAPLE ROAD, EXETER, EX4 1BN",BOTTOM FLAT,,21,MAPLE ROAD,,EXETER
"TOP FLAT, 21 MAPLE ROAD, EXETER, EX4 1BN",TOP FLAT,,21,MAPLE ROAD,,EXETER
"FLAT A, 40 MAPLE ROAD, EXETER, EX4 1BP",FLAT A,,40,MAPLE ROAD,,EXETER
"FLAT B, 40 MAPLE ROAD, EXETER, EX4 1BP",FLAT B,,40,MAPLE ROAD,,EXETER
"60A COWICK STREET, EXETER, EX4 1HR",,,60A,COWICK STREET,,EXETER
"THE FLAT, 50 BUDDLE LANE, EXETER, EX4 1JH",THE FLAT,,50,BUDDLE LANE,,EXETER
"THE FLAT, 11 BUDDLE LANE, EXETER, EX4 1JU",THE FLAT,,11,BUDDLE LANE,,EXETER
"FLAT C, 40 MAPLE ROAD, EXETER, EX4 1BP",FLAT C,,40,MAPLE ROAD,,EXETER
"FLAT D, 40 MAPLE ROAD, EXETER, EX4 1BP",FLAT D,,40,MAPLE ROAD,,EXETER
"OKEHAMPTON ROAD POST OFFICE FLAT, 107 OKEHAMPTON ROAD, EXETER, EX4 1EP",OKEHAMPTON ROAD POST OFFICE FLAT,,107,OKEHAMPTON ROAD,,EXETER
"SOUTH WING, THE HERMITAGE, 20 EXWICK HILL, EXETER, EX4 2AQ",SOUTH WING,THE HERMITAGE,20,EXWICK HILL,,EXETER
"FLAT 2, 121 ALPHINGTON ROAD, EXETER, EX2 8JD",FLAT 2,,121,ALPHINGTON ROAD,,EXETER
"FLAT 3, 121 ALPHINGTON ROAD, EXETER, EX2 8JD",FLAT 3,,121,ALPHINGTON ROAD,,EXETER
"1 BATE CLOSE, EXETER, EX2 8US",,,1,BATE CLOSE,,EXETER
"2 BATE CLOSE, EXETER, EX2 8US",,,2,BATE CLOSE,,EXETER
"3 BATE CLOSE, EXETER, EX2 8US",,,3,BATE CLOSE,,EXETER
"4 BATE CLOSE, EXETER, EX2 8US",,,4,BATE CLOSE,,EXETER
"5 BATE CLOSE, EXETER, EX2 8US",,,5,BATE CLOSE,,EXETER
"6 BATE CLOSE, EXETER, EX2 8US",,,6,BATE CLOSE,,EXETER
"7 BATE CLOSE, EXETER, EX2 8US",,,7,BATE CLOSE,,EXETER
"1 BRUNEL CLOSE, EXETER, EX4 4BT",,,1,BRUNEL CLOSE,,EXETER
"11 BRUNEL CLOSE, EXETER, EX4 4BT",,,11,BRUNEL CLOSE,,EXETER
"12 BRUNEL CLOSE, EXETER, EX4 4BT",,,12,BRUNEL CLOSE,,EXETER
"13 BRUNEL CLOSE, EXETER, EX4 4BT",,,13,BRUNEL CLOSE,,EXETER
"2 BRUNEL CLOSE, EXETER, EX4 4BT",,,2,BRUNEL CLOSE,,EXETER
"3 BRUNEL CLOSE, EXETER, EX4 4BT",,,3,BRUNEL CLOSE,,EXETER
"4 BRUNEL CLOSE, EXETER, EX4 4BT",,,4,BRUNEL CLOSE,,EXETER
"5 BRUNEL CLOSE, EXETER, EX4 4BT",,,5,BRUNEL CLOSE,,EXETER
"6 BRUNEL CLOSE, EXETER, EX4 4BT",,,6,BRUNEL CLOSE,,EXETER
"7 BRUNEL CLOSE, EXETER, EX4 4BT",,,7,BRUNEL CLOSE,,EXETER
"8 BRUNEL CLOSE, EXETER, EX4 4BT",,,8,BRUNEL CLOSE,,EXETER
"9 BRUNEL CLOSE, EXETER, EX4 4BT",,,9,BRUNEL CLOSE,,EXETER
"FLAT 2, 9 CHURCH ROAD, ST THOMAS, EXETER, EX2 9AX",FLAT 2,,9,CHURCH ROAD,ST THOMAS,EXETER
"FLAT 3, 9 CHURCH ROAD, ST THOMAS, EXETER, EX2 9AX",FLAT 3,,9,CHURCH ROAD,ST THOMAS,EXETER
"FLAT, 155 COWICK STREET, EXETER, EX4 1AS",FLAT,,155,COWICK STREET,,EXETER
"THE KINGS, THE FLAT, 173 COWICK STREET, EXETER, EX4 1AA",THE FLAT,,173,COWICK STREET,,EXETER
"10 ELMBRIDGE GARDENS, EXETER, EX4 4AE",,,10,ELMBRIDGE GARDENS,,EXETER
